Student,Exam1,Exam2,Exam3,Exam4,Exam5,Exam6,Exam7,Exam8,Exam9,Exam10,Exam11,Exam12,Exam13,Exam14,Exam15,Exam16,Exam17,Exam18,Exam19,Exam20,Exam21,Exam22,Exam23,Exam24,Exam25
student1,76,67,84,72,57,52,74,68,72,87,67,71,58,75,93,87,100,85,74,74,81,88,65,78,69
student2,65,70,66,100,69,62,95,76,66,63,95,96,58,53,91,86,61,96,90,83,74,50,59,85,78
student3,73,83,50,67,69,78,64,65,70,93,51,76,93,86,58,66,75,78,78,63,87,95,91,82,96
student4,59,77,69,89,70,72,90,59,87,83,63,51,94,73,59,80,96,53,81,69,66,99,66,68,96
student5,81,58,71,59,62,56,51,93,83,87,86,66,97,65,77,64,84,52,97,85,57,75,76,50,84
student6,79,60,75,61,92,63,77,56,65,89,75,51,80,59,72,79,85,97,65,100,90,54,96,92,91
student7,86,90,59,73,98,54,90,71,78,84,100,89,82,89,91,74,70,91,79,64,93,90,61,59,81
student8,58,98,74,62,81,69,86,92,62,97,54,92,61,77,76,56,86,82,85,57,79,63,100,53,100
student9,85,97,96,80,86,100,56,67,99,70,90,51,70,69,98,87,54,87,63,68,52,70,54,50,83
student10,53,90,77,93,88,52,75,51,92,97,54,100,57,96,74,68,53,51,87,64,76,98,51,94,68
student11,82,56,67,79,90,66,56,71,56,88,67,91,58,68,97,82,97,89,69,55,57,50,71,98,94
student12,52,72,57,73,69,79,90,58,58,93,74,57,59,77,85,50,78,78,88,74,72,75,81,66,74
student13,92,98,89,52,75,87,97,90,84,65,74,80,53,69,61,96,50,99,82,95,88,91,54,68,68
student14,95,65,76,93,67,86,95,99,58,57,93,68,74,52,80,83,84,72,80,86,72,54,67,70,82
student15,78,78,87,54,53,68,78,77,73,76,51,83,65,71,65,54,59,59,90,86,81,53,89,64,92
student16,88,65,82,88,58,81,75,63,67,67,61,53,81,58,84,55,99,96,76,59,57,98,63,78,64
student17,96,56,51,94,50,80,84,65,66,87,65,89,91,98,85,92,50,89,69,82,89,50,92,56,69
student18,87,84,86,88,85,53,91,93,88,82,99,91,79,51,100,61,79,72,58,58,73,96,66,99,75
student19,97,80,71,93,54,98,56,76,62,57,70,61,60,78,91,66,56,84,87,60,61,98,65,51,83
student20,81,92,77,65,97,52,58,65,68,76,81,85,64,93,57,77,81,95,73,54,52,75,96,94,60
student21,78,97,75,98,71,88,94,52,92,76,71,80,67,90,68,74,85,76,60,91,73,51,59,83,69
student22,53,86,90,84,77,51,90,90,94,81,86,82,74,61,53,71,98,74,50,94,53,51,59,60,61
student23,82,68,99,86,62,75,59,62,78,59,98,57,80,74,54,61,97,87,79,76,56,57,62,90,92
student24,53,79,72,62,54,80,69,87,97,78,73,91,79,96,56,92,79,66,88,70,89,73,79,58,62
student25,94,72,88,84,80,84,62,60,91,65,86,75,55,73,95,61,82,59,85,79,75,99,52,64,95
student26,58,56,59,90,95,80,100,97,84,66,61,92,88,90,71,80,68,51,77,51,50,51,73,86,71
student27,63,75,68,100,85,80,94,80,73,54,66,74,80,75,62,76,94,68,58,76,73,67,93,81,69
student28,82,85,92,91,80,55,61,71,60,69,96,71,84,53,82,97,100,84,79,83,88,78,92,91,51
student29,64,56,89,65,61,51,87,93,60,84,56,50,57,72,88,78,95,66,79,56,94,81,50,83,100
student30,51,77,73,98,55,60,74,75,91,71,86,77,93,89,96,86,50,90,66,77,59,64,65,60,68
student31,93,92,62,65,74,76,69,98,94,86,55,55,81,98,65,99,92,71,57,98,54,53,88,95,75
student32,54,97,81,86,79,94,100,67,66,83,67,52,52,87,78,51,60,57,61,85,91,50,75,84,50
student33,81,57,58,68,65,96,65,50,71,61,99,52,72,97,87,66,51,97,73,52,50,81,95,70,82
student34,78,81,66,67,97,92,88,89,93,64,71,100,89,80,70,84,96,86,67,64,92,77,72,59,97
student35,62,52,62,94,82,65,81,67,92,75,55,64,69,91,84,95,50,73,78,63,60,80,94,61,87
student36,77,98,76,90,95,100,76,88,66,91,74,90,87,65,53,74,99,77,97,99,94,67,81,52,56
student37,83,87,68,91,73,84,98,57,76,68,89,70,88,93,76,87,99,66,86,50,50,63,89,67,79
student38,78,53,81,91,83,71,97,88,83,99,66,87,66,75,86,75,59,76,98,82,53,57,82,65,59
student39,56,89,83,61,51,69,67,77,100,54,97,53,94,80,98,56,94,56,74,75,56,52,72,63,96
student40,53,79,73,75,96,67,97,61,53,95,56,81,70,61,98,50,86,56,82,86,72,78,98,100,92
student41,58,55,78,96,98,77,53,87,91,64,54,71,58,83,72,84,56,62,71,72,95,77,96,89,92
student42,68,81,52,81,85,98,67,87,84,62,53,71,68,81,93,77,81,85,81,82,80,63,70,83,94
student43,76,74,97,68,53,65,62,100,81,73,71,70,58,55,81,53,72,57,85,75,62,97,91,53,79
student44,92,72,99,89,95,54,58,74,61,77,70,76,85,59,78,83,73,59,68,98,57,82,86,71,74
student45,63,98,59,62,96,69,72,65,92,95,66,96,67,73,50,54,85,85,91,87,66,95,56,77,51
student46,72,98,71,76,61,51,97,94,59,69,84,88,84,92,61,80,65,88,86,64,87,68,76,62,66
student47,50,98,95,96,56,52,100,80,93,80,64,99,60,58,86,66,70,63,84,64,59,53,78,88,69
student48,67,90,52,84,75,97,89,68,88,99,83,73,92,90,72,90,82,58,70,90,93,65,92,85,64
student49,67,72,80,77,82,78,89,51,71,54,51,64,53,75,66,56,53,91,63,100,98,54,53,88,92
student50,55,73,90,71,76,97,89,55,77,50,81,61,88,84,77,95,75,64,76,68,65,85,67,75,67
student51,77,73,73,98,66,94,97,86,85,96,78,88,82,93,51,88,50,68,83,93,63,61,74,55,61
student52,58,91,62,74,64,50,51,61,94,87,100,53,60,56,68,53,84,96,53,64,73,98,81,81,78
student53,66,59,76,70,75,93,64,87,74,51,58,79,61,90,96,90,61,61,53,59,88,88,60,87,51
student54,78,92,59,56,95,53,56,78,90,78,94,56,64,60,85,92,93,78,80,92,50,99,83,70,96
student55,53,67,92,51,77,76,57,86,76,68,95,98,81,56,75,100,69,60,84,63,76,51,97,84,84
student56,99,53,93,54,54,93,99,79,74,77,98,63,64,99,73,53,62,88,54,79,72,51,64,89,73
student57,68,85,97,77,92,75,88,88,87,100,79,51,96,79,55,81,89,92,59,64,73,68,60,74,93
student58,79,69,62,83,70,75,93,92,91,73,57,53,98,52,76,64,89,95,90,87,87,78,56,84,60
student59,86,88,52,75,71,63,79,72,95,82,81,66,64,54,55,89,54,57,53,77,63,69,77,53,97
student60,55,64,57,50,77,90,76,59,51,100,89,53,51,83,74,90,81,85,81,95,82,66,89,97,93
student61,56,95,87,79,96,52,54,90,50,77,62,92,100,55,91,97,80,69,72,57,82,66,77,85,94
student62,61,96,95,52,86,71,63,81,92,100,52,68,89,68,93,71,88,71,78,83,81,77,87,70,53
student63,75,72,69,56,80,77,65,77,61,90,74,52,94,78,53,93,70,54,65,60,100,76,81,90,70
student64,93,83,83,79,82,56,80,60,94,57,82,81,67,91,72,78,70,66,87,73,51,99,78,70,82
student65,67,59,79,65,98,99,76,83,69,78,99,90,79,68,75,68,75,100,70,52,59,96,62,74,77
student66,59,95,50,71,63,65,57,58,86,54,67,98,58,84,52,79,83,64,60,84,97,97,54,96,65
student67,64,89,100,69,87,90,100,71,87,53,82,52,78,92,60,69,94,98,95,71,72,52,81,83,69
student68,72,88,85,68,87,57,75,93,65,89,51,94,78,66,81,88,97,62,77,90,80,53,83,99,75
student69,81,86,99,56,70,68,77,79,68,89,86,65,87,97,72,77,87,63,90,95,100,82,61,78,75
student70,70,99,91,53,74,84,99,90,88,78,93,77,52,64,56,68,62,51,57,64,51,67,83,76,93
student71,77,67,99,88,73,75,73,86,53,92,91,66,52,62,63,70,96,55,94,80,78,90,53,61,53
student72,59,97,62,80,57,50,83,56,88,93,69,88,88,94,83,93,96,56,97,74,99,54,64,51,52
student73,87,60,85,61,81,93,83,59,67,84,80,97,79,75,51,63,75,87,79,88,76,84,62,54,91
student74,50,54,93,75,99,81,62,75,61,86,84,86,89,79,88,78,50,98,74,57,63,51,75,91,68
student75,78,74,86,73,65,94,63,94,53,68,83,87,83,65,77,71,75,87,55,80,77,98,52,97,97
student76,57,76,65,70,71,80,69,58,80,87,66,68,75,86,74,53,57,78,55,87,80,68,63,63,53
student77,72,50,79,56,66,51,87,68,59,60,52,50,82,98,100,59,67,75,94,80,60,94,91,55,68
student78,52,67,50,70,64,52,85,57,95,57,94,95,71,80,65,65,64,93,89,57,84,86,79,84,61
student79,91,66,53,78,92,76,62,60,72,73,59,76,60,50,63,57,97,71,85,77,95,85,57,96,56
student80,93,88,67,53,52,65,69,87,55,84,58,51,60,86,71,90,61,83,82,99,86,77,97,72,70
student81,57,67,88,95,93,50,72,67,92,50,84,90,52,55,91,92,67,76,95,83,84,58,78,64,61
student82,51,78,97,88,85,51,57,53,89,74,66,78,96,98,54,64,70,88,83,94,95,74,100,63,99
student83,63,85,50,66,72,79,79,61,74,88,58,67,60,69,59,98,75,71,89,50,74,50,50,60,76
