datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
2019-07-11 15:35,Thur,23800,,1,,,1,,,3,,,,,,,,,,,,,1,,,
2019-07-11 16:10,Thur,15800,,1,,,,,,1,,,,,,,,,,,1,,,,,
2019-07-12 11:49,Fri,58000,,,,,,,,14,,,,,,,,,,,,,,,,
2019-07-13 13:19,Sat,14800,,1,1,,,,,,,,,,,,,,,,,,1,,,
2019-07-13 13:22,Sat,15600,,2,,,,,,1,,,,,,,,,,,,,,,,
2019-07-13 14:54,Sat,15800,,1,,,,,,,,,,,,1,,,,,,,1,,,
2019-07-13 15:08,Sat,15800,,1,,,,,,,,,,,,,,,,,1,,1,,,
2019-07-13 15:09,Sat,14000,,,,,,,,2,1,,,,,,,,,,,,,,,
2019-07-13 15:23,Sat,19100,,2,1,,,,,1,,,,,,,,,,,,,,,,
2019-07-13 16:32,Sat,22300,,1,1,,,,,1,1,,,,,,,,,,,,,,,
2019-07-14 11:08,Sun,15300,,1,,,,,,1,,,,,,,,,,,,,1,,,
2019-07-14 11:15,Sun,27600,,2,,,3,,,1,,,,,,,,,,,,,,,,
2019-07-14 11:44,Sun,26300,,1,,,,,,2,2,,,,,,,,,,,,1,,,
2019-07-14 11:59,Sun,19800,,1,,,,,,1,,,,,,,,,,,1,,1,,,
2019-07-14 12:59,Sun,18300,,1,,,,,,,1,,,,,,,,,,1,,,,,
2019-07-14 13:05,Sun,15600,,2,,,,,,1,,,,,,,,,,,,,,,,
2019-07-14 14:06,Sun,23600,,2,,,,,,1,1,,,,,,,,,,1,,,,,
2019-07-14 14:41,Sun,20100,,2,,,,,,1,,,,,,,,,,,,,1,,,
2019-07-14 14:51,Sun,25600,,2,,1,,,1,,,,,,,,,,,,1,,,,,
2019-07-14 15:02,Sun,19800,,1,,,,,,1,,,,,,,,,,,1,,1,,,
2019-07-15 11:45,Mon,15100,,2,,,,,,,1,,,,,,,,,,,,,,,
2019-07-15 16:21,Mon,15800,,1,,,,,,1,,,,,,,,,,1,,,,,,
2019-07-17 11:47,Wed,17800,,1,1,,,,,1,,,,,,,,,,,,,,,,
2019-07-17 13:23,Wed,14800,,3,,,,1,,,,1,,,,,,,,,,,,,,
2019-07-17 14:16,Wed,23400,,1,,2,,,,,,,,,,,1,,,,1,,,,,
2019-07-17 16:32,Wed,18100,,1,1,,,,,,,,,,,,,,,,,,,1,,
2019-07-19 11:43,Fri,14800,,1,,,,1,,1,,1,,,,,,,,,,,,,,
2019-07-19 12:11,Fri,15800,,1,,,,,,,,,,,,,,,,,1,,,1,,
2019-07-19 12:36,Fri,21800,,1,,,,1,,2,,1,,,,,,,,,,,,,,
2019-07-19 12:44,Fri,20600,,2,,,,,,1,,,,,,,,,,,1,,,,,
2019-07-19 13:35,Fri,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,
2019-07-19 13:50,Fri,15100,,2,,,,,,,,1,,,,,,,,,,,,,,
2019-07-19 14:12,Fri,58000,,,,,,16,,,,,,,,,,,,,,,,,,
2019-07-19 15:33,Fri,35900,,3,,,,3,,2,,,,,,,,,,,,,,,,
2019-07-20 11:19,Sat,15800,,1,,,,,,,,,,,,1,,,,,1,,,,,
2019-07-20 11:35,Sat,18800,,1,,,1,1,1,,,,,,,,,,,,,,,,,
2019-07-20 11:40,Sat,22800,,1,,1,,,,1,,1,,,,,1,,,,,,,,1,
2019-07-20 11:44,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,
2019-07-20 12:08,Sat,15800,,1,,,,,,,,,,,,,,1,,,,,,,1,
2019-07-20 12:13,Sat,26300,,1,,,,,1,,,1,,,,,,,,,1,1,,,1,
2019-07-20 12:31,Sat,14800,,1,,,,,1,,,1,,,,,,,,,,,,,,
2019-07-20 12:55,Sat,15800,,1,,,,,,1,,,,,,,,,,,1,,,,,
2019-07-20 13:19,Sat,20500,,,,,,2,,1,,2,,,,,,,,,,,,,,
2019-07-20 13:44,Sat,18600,,2,,,,1,,,,1,,,,,,,,,,,,,,
2019-07-20 13:56,Sat,17800,,1,,,1,1,,,,1,,,,,,,,,,,,,,
2019-07-21 11:07,Sun,18600,,1,,,,1,,,,,,,,,1,,,,,,,,1,
2019-07-21 11:42,Sun,17300,,1,1,,,1,,,,1,,,,,,,,,,,,,,
2019-07-21 12:12,Sun,17800,,1,,,1,,,,,,,,,,,,,,1,1,,,,
2019-07-21 12:25,Sun,14800,,1,,,,,1,,,1,,,,,,,,,,,,,,
